Scenario,Year,Portfolio Return (Nominal),Portfolio Return (Real),Nominal Value,Real Value
Scenario 1,1926,0.10817,0.05379421833396725,1.10817,1.0537942183339672
Scenario 1,1927,0.00923,0.020971168437025733,1.1183984091,1.0758935143846127
Scenario 1,1928,0.12627,0.10159428794992165,1.259618576217057,1.1851981498884563
Scenario 1,1929,0.18488000000000002,0.19083417085427135,1.4924968585880665,1.4113744561204362
Scenario 1,1930,0.06595000000000001,0.09361854929721969,1.5909270264119493,1.543505285217584
Scenario 1,1931,0.08843000000000001,0.0200843486410498,1.731612703357558,1.5745055834951969
Scenario 1,1932,0.16112,0.04945770065075905,2.0106101421225273,1.652377009316651
Scenario 1,1933,0.13955,0.16984909146904847,2.2911907874557262,1.9330317431134276
Scenario 1,1934,0.05807,0.005292161520190186,2.4242402364832802,1.9432616593216387
Scenario 1,1935,0.14185000000000003,0.1373007968127491,2.7681187140284336,2.2100730335621646
Scenario 1,1936,0.04785999999999999,0.03697179614052448,2.9006008756818344,2.2917834032146955
Scenario 1,1937,0.11335999999999999,0.10638974460896344,3.2294129909491267,2.535605654181768
Scenario 1,1938,0.10429,0.10939320876029734,3.566208471775211,2.812983692843465
Scenario 1,1939,-0.03350000000000001,-0.06337823432503153,3.4467404879707413,2.634701753205939
Scenario 1,1940,0.033570000000000016,0.03688804173354754,3.5624475661519193,2.731890741433651
Scenario 1,1941,0.05351,0.012211760184473563,3.7530741354167083,2.765251936018222
Scenario 1,1942,0.0037800000000000056,-0.023560311284046787,3.767260755648583,2.70010173962682
Scenario 1,1943,0.12663,0.10410623284986276,4.244308985136363,2.9811991600507293
Scenario 1,1944,-0.037200000000000004,-0.031095904196437596,4.08642069088929,2.8884960765792917
Scenario 1,1945,-0.007000000000000006,-0.013804747244016147,4.057815746053065,2.848621118326782
Scenario 1,1946,0.17748,0.1106206376155443,4.777996884662564,3.1637374027611957
Scenario 1,1947,0.07745,0.026142857142857023,5.148052743379679,3.246446537719095
Scenario 1,1948,0.12345,0.13376728226864465,5.7835798545499015,3.6807148681002295
Scenario 1,1949,-0.05304,-0.08417794970986459,5.476818779064575,3.3708798370369375
Scenario 1,1950,0.029720000000000003,-0.02865767380435813,5.639589833178374,3.274278262233445
Scenario 1,1951,0.04102999999999999,0.08080357142857131,5.870982204033682,3.5388516396728433
Scenario 1,1952,0.03747,-0.013530474469906073,6.090967907218824,3.490969297909465
Scenario 1,1953,0.10266,0.0988141504733433,6.716266672573908,3.8359264634109125
Scenario 1,1954,0.010520000000000002,-0.040159574468084935,6.786921797969386,3.6818772889494644
Scenario 1,1955,0.03309,0.03360680340170075,7.011501040264194,3.805613415148376
Scenario 2,1927,0.00923,0.020971168437025733,1.00923,1.0209711684370257
Scenario 2,1928,0.12627,0.10159428794992165,1.1366654721,1.1246960073117849
Scenario 2,1929,0.18488000000000002,0.19083417085427135,1.346812184581848,1.339326437330239
Scenario 2,1930,0.06595000000000001,0.09361854929721969,1.4356344481550207,1.4647122354285096
Scenario 2,1931,0.08843000000000001,0.0200843486410498,1.5625876024053693,1.4941300266236672
Scenario 2,1932,0.16112,0.04945770065075905,1.8143517169049224,1.5680262622137313
Scenario 2,1933,0.13955,0.16984909146904847,2.0675444989990046,1.8343540982503415
Scenario 2,1934,0.05807,0.005292161520190186,2.187606808055877,1.844061796423505
Scenario 2,1935,0.14185000000000003,0.1373007968127491,2.4979188337786034,2.097252950444402
Scenario 2,1936,0.04785999999999999,0.03697179614052448,2.6174692291632473,2.174792158983346
Scenario 2,1937,0.11335999999999999,0.10638974460896344,2.914185540981193,2.4061677413551603
Scenario 2,1938,0.10429,0.10939320876029734,3.2181059510501218,2.6693861513975183
Scenario 2,1939,-0.03350000000000001,-0.06337823432503153,3.1102994016899426,2.5002051703902524
Scenario 2,1940,0.033570000000000016,0.03688804173354754,3.2147121526046742,2.5924328430580394
Scenario 2,1941,0.05351,0.012211760184473563,3.38673139989055,2.624091011231817
Scenario 2,1942,0.0037800000000000056,-0.023560311284046787,3.3995332445821362,2.5622666101695266
Scenario 2,1943,0.12663,0.10410623284986276,3.8300161393435723,2.829014534511264
Scenario 2,1944,-0.037200000000000004,-0.031095904196437596,3.6875395389599914,2.7410437695757723
Scenario 2,1945,-0.007000000000000006,-0.013804747244016147,3.6617267621872713,2.7032043531519934
Scenario 2,1946,0.17748,0.1106206376155443,4.311610027940269,3.002234542302782
Scenario 2,1947,0.07745,0.026142857142857023,4.645544224604243,3.0807215310515543
Scenario 2,1948,0.12345,0.13376728226864465,5.219036659131637,3.4928212776868186
Scenario 2,1949,-0.05304,-0.08417794970986459,4.942218954731295,3.1988027438281526
Scenario 2,1950,0.029720000000000003,-0.02865767380435813,5.08910170206591,3.1071324982310395
Scenario 2,1951,0.04102999999999999,0.08080357142857131,5.2979075449016735,3.3581999009898866
Scenario 2,1952,0.03747,-0.013530474469906073,5.496420140609138,3.312761862964702
Scenario 2,1953,0.10266,0.0988141504733433,6.060682632244072,3.640109612174049
Scenario 2,1954,0.010520000000000002,-0.040159574468084935,6.1244410135352805,3.4939243591319538
Scenario 2,1955,0.03309,0.03360680340170075,6.3270987666731635,3.6113439881697147
Scenario 2,1956,0.005899999999999999,0.05021925245353942,6.364428649396535,3.7927029836081814
Scenario 3,1928,0.12627,0.10159428794992165,1.1262699999999999,1.1015942879499216
Scenario 3,1929,0.18488000000000002,0.19083417085427135,1.3344947976,1.3118161205086465
Scenario 3,1930,0.06595000000000001,0.09361854929721969,1.42250472950172,1.4346264426553728
Scenario 3,1931,0.08843000000000001,0.0200843486410498,1.548296822731557,1.4634399802993323
Scenario 3,1932,0.16112,0.04945770065075905,1.7977584068100654,1.5358183567653294
Scenario 3,1933,0.13955,0.16984909146904847,2.04863559248041,1.7966757093234076
Scenario 3,1934,0.05807,0.005292161520190186,2.1675998613357477,1.8061840073765494
